,Main_Cause,Severity,Area Affected
0,Heavy Rain,1,254234.6
1,Heavy Rain,1,117441.17
2,Heavy Rain,2,89994.67
3,Tropical Cyclone,2,46758.64
4,Monsoonal Rain,1,507167.44
5,Monsoonal Rain,1,107355.33
6,Heavy Rain,1,231516.28
7,Monsoonal Rain,1,42285.99
8,Heavy Rain,1,70501.83
9,Monsoonal Rain,2,847737.26
10,Heavy Rain,1,76352.55
11,Heavy Rain,1,94871.79
12,Monsoonal Rain,1,626872.46
13,Heavy Rain,2,268528.55
14,Heavy Rain,1,605.213
15,Monsoonal Rain,1,905209.24
16,Monsoonal Rain,2,112816.35
17,Heavy Rain,1,204979.38
18,Torrential Rain,1,90818.98
19,Tropical Cyclone,1,267344.4
20,Monsoonal Rain,2,53045.31
21,Monsoonal Rain,1,1100663.3
22,Heavy Rain,1,284926.61
23,Monsoonal Rain,1,186161.6
24,Heavy Rain,1,93839.75
25,Monsoonal Rain,1,13576.31
26,Tropical Cyclone,1,26042.82
27,Monsoonal Rain,2,491361.5
28,Monsoonal Rain,1,55550.83
29,Monsoonal Rain,1,47249.13
30,Heavy Rain,1,151947.06
31,Monsoonal Rain,1,547679.02
32,Monsoonal Rain,1,170873.64
33,Monsoonal Rain,1,91960.65
34,Heavy Rain,1,599564.89
35,Monsoonal Rain,1,752428.66
36,Heavy Rain,1,28221.72
37,Monsoonal Rain,1,44021.23
38,Monsoonal Rain,1,518125.28
39,Tropical Cyclone,2,552562.43
40,Monsoonal Rain,1,259045.68
41,Monsoonal Rain,2,531506.66
42,Heavy Rain,1,65928.48
43,Torrential Rain,1,40595.2
44,Heavy Rain,1,40501.37
45,Tropical Cyclone,1,7968.64
46,Monsoonal Rain,1,1981837.41
47,Monsoonal Rain,1,52338.52
48,Monsoonal Rain,1,292130.64
49,Torrential Rain,1,16795.7
50,Torrential Rain,1,14450.04
51,Monsoonal Rain,1,44159.25
52,Monsoonal Rain,1,5275.13
53,Monsoonal Rain,1,154649.2
54,Tropical Cyclone,1,89229.9
55,Tropical Cyclone,1,110657.58
56,Heavy Rain,1,20147.72
57,Monsoonal Rain,1,102906.11
58,Monsoonal Rain,1,762936.89
59,Monsoonal Rain,1,6520.57
60,Monsoonal Rain,1,308073.2
61,Tropical Cyclone,1,262803.2
62,Monsoonal Rain,1,328726.92
63,Monsoonal Rain,1,128966.83
64,Heavy Rain,1,171939.46
65,Heavy Rain,1,177527.02
66,Tropical Cyclone,2,21445.46
67,Monsoonal Rain,1,201818.75
68,Monsoonal Rain,1,57530.65
69,Monsoonal Rain,1,183142.55
70,Monsoonal Rain,1,233024.37
71,Monsoonal Rain,1,70603.06
72,Monsoonal Rain,1,40014.04
73,Monsoonal Rain,1,228334.99
74,Tropical Cyclone,1,80644.64
75,Monsoonal Rain,1,384888.4
76,Extra-tropical Cyclone,1,4931.72
77,"Dam/Levy, break or release",1,214517.36
78,Heavy Rain,1,194230.08
79,Torrential Rain,1,168965.63
80,Tropical Cyclone,2,191940.24
81,"Dam/Levy, break or release",2,55286.73
82,Torrential Rain,1,12415.81
83,Monsoonal Rain,1,326457.88
84,Torrential Rain,2,129459.76
85,Monsoonal Rain,1,223178.01
86,Heavy Rain,1,36854.1
87,Monsoonal Rain,2,155000.88
88,Monsoonal Rain,1,107052.9
89,Monsoonal Rain,1,17561.54
90,Monsoonal Rain,1,38728.34
91,Monsoonal Rain,1,4467.85
92,Monsoonal Rain,2,105057.29
93,Torrential Rain,1,2458.01
94,Heavy Rain,1,3009.11
95,Heavy Rain,1,35442.06
96,Heavy Rain,1,30123.95
97,Torrential Rain,1,44526.51
98,Heavy Rain,1,87384.5
99,Heavy Rain,1,35586.88
100,Monsoonal Rain,1,3790.23
101,"Dam/Levy, break or release",1,41.7932
102,Monsoonal Rain,1,170587.72
103,Monsoonal Rain,1,276609.37
104,Heavy Rain,1,6762.02
105,Monsoonal Rain,1,78978.7
106,Monsoonal Rain,1,9745.41
107,Heavy Rain,1,22713.01
108,Monsoonal Rain,1,766.522
109,Monsoonal Rain,1,37685.27
110,Monsoonal Rain,1,12776.68
111,Monsoonal Rain,1.5,21087.65
112,Monsoonal Rain,1,117883.62
113,Monsoonal Rain,1,8999.41
114,Monsoonal Rain,2,1162598.06
115,Monsoonal Rain,1,638379.86
116,Heavy Rain,1,161739.65
117,Heavy Rain,1,6530.74
118,Monsoonal Rain,2,73780.97
119,Monsoonal Rain,1,6802.76
120,Monsoonal Rain,1,55740.23
121,Monsoonal Rain,1,823461.88
122,Monsoonal Rain,1,35551.57
