,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
0,0,UEI-DFO-FL-1985-0001,6/23/1985,6/27/1985,4,Heavy rain,,,,14.5398,75.0937,1,254234.6,95,,25000,,,,DFO,27
1,1,UEI-DFO-FL-1985-0002,18-07-1985,30-07-1985,12,Heavy rain,,,,32.8353,76.9103,1,117441.17,340,,20000,,,,DFO,33
2,2,UEI-DFO-FL-1985-0003,9/13/1985,10/15/1985,32,Heavy rain,,,,26.4816,82.8434,2,89994.67,557,,152000,,,,DFO,53
3,3,UEI-DFO-FL-1985-0004,18-10-1985,10/20/1985,2,Tropical cyclone,,,,21.1495,86.7154,2,46758.64,49,,150000,,,,DFO,61
4,4,UEI-DFO-FL-1986-0001,15-06-1986,20-08-1986,66,Monsoonal rain,,,,25.6339,84.0726,1,507167.44,258,,3040000,,,,DFO,93
5,5,UEI-DFO-FL-1986-0002,15-08-1986,22-08-1986,7,Monsoonal rain,,,,17.4331,80.187,1,107355.33,150,,3000000,,,,DFO,98
6,6,UEI-DFO-FL-1986-0003,22-09-1986,10/10/1986,18,Heavy rain,,,,23.6547,89.4296,1,231516.28,49,,700000,,,,DFO,106
7,7,UEI-DFO-FL-1988-0001,23-05-1988,6/11/1988,167,Monsoonal rain,,,,26.4813,92.0622,1,42285.99,76,,43000,,,,DFO,180
8,8,UEI-DFO-FL-1988-0002,21-06-1988,14-07-1988,23,Heavy rain,,,,26.988,92.926,1,70501.83,34,,2000000,,,,DFO,190
9,9,UEI-DFO-FL-1988-0003,7/4/1988,8/8/1988,123,Monsoonal rain,,,,28.886,80.7246,2,847737.26,233,,500000,,,,DFO,196
10,10,UEI-DFO-FL-1988-0004,14-07-1988,27-07-1988,13,Heavy rain,,,,22.0189,71.1117,1,76352.55,97,,25000,,,,DFO,203
12,12,UEI-DFO-FL-1988-0006,23-08-1988,15-09-1988,23,Monsoonal rain,,,,26.5037,86.5429,1,626872.46,876,,2000,,,,DFO,228
14,14,UEI-DFO-FL-1988-0008,10/3/1988,10/4/1988,31,Heavy rain,,,,19.1131,72.8962,1,605.213,23,,0,,,,DFO,255
15,15,UEI-DFO-FL-1989-0001,22-07-1989,31-07-1989,9,Monsoonal rain,,,,15.1816,76.4736,1,905209.24,780,,0,,,,DFO,330
16,16,UEI-DFO-FL-1989-0002,7/5/1989,8/10/1989,154,Monsoonal rain,,,,24.8678,92.8291,2,112816.35,31,,32000,,,,DFO,334
17,17,UEI-DFO-FL-1989-0003,9/3/1989,9/10/1989,214,Heavy rain,,,,26.4375,80.8611,1,204979.38,7,,0,,,,DFO,360
